gene_id,name
0,A1BG
1,A1CF
2,A2BP1
3,A2LD1
4,A2M
5,A2ML1
6,A4GALT
7,A4GNT
8,AAA1
9,AAAS
10,AACS
11,AACSL
12,AADAC
13,AADACL2
14,AADACL3
15,AADACL4
16,AADAT
17,AAGAB
18,AAK1
19,AAMP
20,AANAT
21,AARS
22,AARS2
23,AARSD1
24,AASDH
25,AASDHPPT
26,AASS
27,AATF
28,AATK
29,ABAT
30,ABCA10
31,ABCA1
32,ABCA11P
33,ABCA12
34,ABCA13
35,ABCA17P
36,ABCA2
37,ABCA3
38,ABCA4
39,ABCA5
40,ABCA6
41,ABCA7
42,ABCA8
43,ABCA9
44,ABCB10
45,ABCB11
46,ABCB1
47,ABCB4
48,ABCB5
49,ABCB6
50,ABCB7
51,ABCB8
52,ABCB9
53,ABCC10
54,ABCC11
55,ABCC12
56,ABCC13
57,ABCC1
58,ABCC2
59,ABCC3
60,ABCC4
61,ABCC5
62,ABCC6
63,ABCC6P1
64,ABCC6P2
65,ABCC8
66,ABCC9
67,ABCD1
68,ABCD2
69,ABCD3
70,ABCD4
71,ABCE1
72,ABCF1
73,ABCF2
74,ABCF3
75,ABCG1
76,ABCG2
77,ABCG4
78,ABCG5
79,ABCG8
80,ABHD10
81,ABHD11
82,ABHD12
83,ABHD12B
84,ABHD13
85,ABHD14A
86,ABHD14B
87,ABHD15
88,ABHD1
89,ABHD2
90,ABHD3
91,ABHD4
92,ABHD5
93,ABHD6
94,ABHD8
95,ABI1
96,ABI2
97,ABI3
98,ABI3BP
99,ABL1
100,ABL2
101,ABLIM1
102,ABLIM2
103,ABLIM3
104,ABO
105,ABP1
106,ABR
107,ABRA
108,ABT1
109,ABTB1
110,ABTB2
111,ACAA1
112,ACAA2
113,ACACA
114,ACACB
115,ACAD10
116,ACAD11
117,ACAD8
118,ACAD9
119,ACADL
120,ACADM
121,ACADS
122,ACADSB
123,ACADVL
124,ACAN
125,ACAP1
126,ACAP2
127,ACAP3
128,ACAT1
129,ACAT2
130,ACBD3
131,ACBD4
132,ACBD5
133,ACBD6
134,ACBD7
135,ACCN1
136,ACCN2
137,ACCN3
138,ACCN4
139,ACCN5
140,ACCS
141,ACCSL
142,ACD
143,ACE
144,ACE2
145,ACER1
146,ACER2
147,ACER3
148,ACHE
149,ACIN1
150,ACLY
151,ACMSD
152,ACN9
153,ACO1
154,ACO2
155,ACOT11
156,ACOT12
157,ACOT13
158,ACOT1
159,ACOT2
160,ACOT4
161,ACOT6
162,ACOT7
163,ACOT8
164,ACOT9
165,ACOX1
166,ACOX2
167,ACOX3
168,ACOXL
169,ACP1
170,ACP2
171,ACP5
172,ACP6
173,ACPL2
174,ACPP
175,ACPT
176,ACR
177,ACRBP
178,ACRC
179,ACRV1
180,ACSBG1
181,ACSBG2
182,ACSF2
183,ACSF3
184,ACSL1
185,ACSL3
186,ACSL4
187,ACSL5
188,ACSL6
189,ACSM1
190,ACSM2A
191,ACSM2B
192,ACSM3
193,ACSM4
194,ACSM5
195,ACSS1
196,ACSS2
197,ACSS3
198,ACTA1
199,ACTA2
200,ACTB
201,ACTBL2
202,ACTC1
203,ACTG1
204,ACTG2
205,ACTL6A
206,ACTL6B
207,ACTL7A
208,ACTL7B
209,ACTL8
210,ACTL9
211,ACTN1
212,ACTN2
213,ACTN3
214,ACTN4
215,ACTR10
216,ACTR1A
217,ACTR1B
218,ACTR2
219,ACTR3
220,ACTR3B
221,ACTR3C
222,ACTR5
223,ACTR6
224,ACTR8
225,ACTRT1
226,ACTRT2
227,ACVR1
228,ACVR1B
229,ACVR1C
230,ACVR2A
231,ACVR2B
232,ACVRL1
233,ACY1
234,ACY3
235,ACYP1
236,ACYP2
237,ADA
238,ADAD1
239,ADAD2
240,ADAL
241,ADAM10
242,ADAM11
243,ADAM12
244,ADAM15
